key,day,netFlow,price,realTarget,lowerTargetCushion,upperTargetCushion,lowerTargetWall,upperTargetWall,liqUSD,liqOHM,poolK,reservesUSD,reserveChange,reservesIN,reservesOUT,tradedOHM,treasury,supply,marketcap,floatingSupply,floatingMarketcap,liqRatio_liqTreasury,liqRatio_liqReserves,reserveRatio,liqFloatingMCRatio,floatingMCTreasuryPremium,cumPurchasedOHM,cumBurntOHM,bidCapacity,askCapacity,bidCapacityCushion,askCapacityCushion,bidCapacityTargetCushion,askCapacityTargetCushion,bidCapacityTarget,askCapacityTarget,askCount,bidCount,marketDemand,marketSupply,netTotal,gohm7dVolatility
449_1196,28.0,-4772767.4117373023,21.99024285558113,28.151091227807171,25.335982105026456,30.96620035058789,21.957851157689593,34.344331297924747,22186960.460590594,1008945.67678499,22385437837712.391,239515283.89600849,99.651923263977523,-793161.2466355121,836609.02384368889,-31738.13189537236,261702244.35659909,28053778.841933414,616909409.75087929,27044833.165148426,594722449.29028881,0.084779404605939621,0.092632754368291645,10.795317561476956,0.037306411565709977,2.2725156628000169,487449.04981185112,378905.3969241507,21631670.362786695,8436289.72623442,9734251.6632540151,3796330.3768054894,9734251.6632540151,3796330.3768054894,21631670.362786695,8436289.72623442,1.0,7.0,0.015643353803071577,-0.010744969487484941,0.0048983843155866354,0.13053241344221136
449_1196,29.0,359509.46278561512,25.413823643267929,28.237581825853251,25.413823643267925,31.061340008438577,22.025313824165536,34.449849827540966,23851615.655652337,938529.20325787272,22385437837712.391,238210138.16373235,99.455088747972,-790400.436856828,1305145.7322761281,-55064.716117036762,262061753.81938469,28164015.267451391,715755317.093315,27225486.064193517,691903701.43766272,0.09101524853600379,0.10012846572994331,9.98716990927537,0.034472449859846939,2.6402315154867235,542513.76592888788,380884.08677390695,21116925.067367397,8402085.0690297075,9219506.367834717,3780938.281063369,9700368.9977883436,3780938.281063369,21556375.550640762,8402085.0690297075,2.0,6.0,0.021258933642627133,-0.010357156824101715,0.010901776818525418,0.14337457460552114
449_1196,30.0,4557573.0810572011,33.898666690778008,28.326569783609589,25.49391280524863,31.159226761970551,22.094724431215479,34.558415136003696,27546987.058256347,812627.44961442368,22385437837712.391,239072339.84218553,100.36195003499832,-786093.45594031678,-862201.67845319118,29073.1909450202,266619326.90044188,28256416.788997952,957854854.60594535,27443789.339383528,930307867.547689,0.10331954317978849,0.11522448425627338,8.67871100881543,0.029610613882983472,3.4892739335999994,513440.5749838677,401138.62629715,21438912.434735909,8354389.1568211559,9647510.59563116,3759475.1205695206,9647510.59563116,3759475.1205695206,21438912.434735909,8354389.1568211559,3.0,6.0,0.012056503851369572,-0.0083728815723005789,0.0036836222790689929,0.14663079310910451
449_1196,31.0,-1437669.3821323556,30.918883326769468,28.108075751608606,25.297268176447744,30.918883326769468,21.924299086254713,34.2918524169625,26413649.4406304,854288.59643716656,22564879507419.492,238768008.07767913,99.872703063555036,-788938.72147921228,304331.76450640755,-9390.4124553926686,265181657.51830953,28417138.368362494,878626185.692064,27562849.771925326,852212536.25143361,0.099605869002484318,0.1106247426248041,9.0395690536574556,0.030994204282436669,3.213693376181542,522830.98743926035,401138.62629715,21516510.585796695,8338715.6620234568,9682429.7636085134,3743801.625771821,9682429.7636085134,3772199.5958155957,21516510.585796695,8382665.7684791,3.0,6.0,0.016786318215741686,-0.0065726153700803027,0.010213702845661383,0.13752778518807224
449_1196,32.0,1134504.544388528,34.182286164556636,28.018267347997252,25.216440613197527,30.820094082796981,21.854248531437857,34.182286164556643,27883723.980967484,815736.075894184,22745759581550.969,238432438.08173057,99.859457722728337,-787934.42665634106,335569.99594855774,-10309.184875496534,266316162.06269807,28546480.416633643,975783962.59228313,27730744.340739459,947900238.61131561,0.10470158388060165,0.11694601709944105,8.55095389139832,0.029416306532233233,3.5593042167232571,533140.1723147569,401138.62629715,21489120.726991121,8325481.7774163811,9670104.3271460049,3743801.625771821,9670104.3271460049,3769572.8342365948,21489120.726991121,8376828.5205257656,3.0,6.0,0.011312099520956168,-0.012457084242075488,-0.0011449847211193204,0.15014405939747405
449_1196,34.0,-1488610.2754458329,32.096737583440373,29.178852348582165,26.26096711372395,32.096737583440387,22.759504831894091,35.598199865270239,27236299.02428481,848569.07819618389,23111881156512.984,238276104.55292019,99.928404895595321,-786874.50865063875,170716.250303681,-5046.47895269637,265512403.577205,28811126.504983176,924743166.9137485,27962557.426786993,897506867.88946378,0.10258013809273928,0.11430562487744438,8.7484758608526487,0.030346619060790531,3.3802822610074,537774.20278842037,401138.62629715,21460213.872290149,8283754.1838747151,9657096.24253057,3724604.7134144465,9657096.24253057,3754452.7013664353,21460213.872290149,8343228.2252587434,3.0,6.0,0.0088495039370953665,-0.0072816460953050929,0.0015678578417902735,0.1032931310494188
449_1196,36.0,3657738.4460148136,36.031906268028933,29.534349400023746,26.580914460021372,32.487784340026124,23.036792532018524,36.031906268028969,29088993.391513575,807312.08543701726,23483895918166.438,238516490.40656006,100.43231205178621,-783716.31824605539,-1026696.9986644979,31074.598625371793,267605483.79807365,29061350.195053924,1047135846.2505473,28254038.109616905,1018046852.8590337,0.10870103623684774,0.12195799687447323,8.1995443154848,0.0285733346258293,3.8042824773621553,532005.56868089351,401138.62629715,21374081.4067106,8286377.1280002631,9618336.6330197714,3737428.1248944816,9618336.6330197714,3737428.1248944816,21374081.4067106,8305395.8330988465,3.0,7.0,0.020844219232750059,-0.0058671448774788131,0.014977074355271246,0.068472661912284877
449_1196,38.0,4803237.3603226282,35.778055391809168,29.326274911318972,26.393647420187076,32.258902402450872,22.8744944308288,35.778055391809147,29218698.368134171,816665.35668742179,23861898724754.48,244816241.10404262,101.99773978098808,-792070.09623749368,-4794999.8199536167,133523.47237897091,274034939.47217679,29408335.699932732,1052173063.6531123,28591670.343245309,1022954365.2849782,0.10662398898626864,0.11934950980526139,8.3787524693789415,0.028563051646975791,3.7329340822572021,356727.78192146949,401138.62629715,21601911.71556801,8066633.98526747,9720860.2720056064,3737428.1248944816,9720860.2720056064,3775574.4130795645,21601911.71556801,8390165.36239903,2.0,7.0,0.020183392358239977,-0.0089326699677314166,0.011250722390508561,0.068188231183988313
449_1196,40.0,198453.151298536,36.025163386794752,29.528822448192397,26.575940203373158,32.481704693011636,23.03248150959007,36.025163386794723,29554451.538351189,820383.55304682837,24245985961382.852,248837593.98645845,100.01208930249724,-821064.79914804548,-30079.093111330643,836.38398350343539,278392045.52480966,29934533.188060872,1078396449.007323,29114149.635014042,1048841997.4689716,0.10616126435163308,0.11877004219852536,8.4196315963960817,0.028178173270779532,3.7674998777057414,244526.81266373763,401138.62629715,22392676.34040124,7909331.1087269327,10076704.353180559,3737428.1248944816,10076704.353180559,3914898.8081682194,22392676.34040124,8699775.1292627081,2.0,7.0,0.014291180873133419,-0.0089582981922385289,0.00533288268089489,0.063023232817659966
449_1196,42.0,-1770914.9549591795,30.21692606579315,29.744365168022593,26.769928651220333,32.718801684824854,23.200604831057625,36.288125504987562,27284279.593447249,902946.89585696207,24636255564596.648,247624964.92130232,99.670000000000016,-819867.94847024942,819867.94847024907,-26095.2751283084,274909244.51474959,30211342.589852378,912893905.38591707,29308395.693995416,885609625.79246974,0.0992483160819402,0.11018388070087548,9.075737699916159,0.030808472264551627,3.2214617858911416,282065.38558948465,401138.62629715,22360034.958279528,8682329.6927433368,10062015.731225789,3907048.361734502,10062015.731225789,3907048.361734502,22360034.958279528,8682329.6927433368,1.0,7.0,0.0077208511593486991,-0.011218799446315068,-0.0034979482869663689,0.065117570272487824
